#Digilent WaveForms Logger,,,,,,,,,,,,
#Device Name: Discovery2NI,,,,,,,,,,,,
#Serial Number: SN:210321ACBB39,,,,,,,,,,,,
#Date Time: 2020-06-04 10:58:36.902,,,,,,,,,,,,
,,,,,,,,,,,,
Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V),,,Thermistice,,Temperature (C),Resistance (kOhm)
5.8,0.00203503,0.837856352,0.837853881,-0.030373705,0.580694026,0.57989912,,,10.27680757,,24.38678364,8473.479756
5.9,0.002320425,0.837806488,0.837803275,-0.030539093,0.580505992,0.57970214,,,10.28082913,,24.37801518,8561.386243
6,0.002520156,0.837778129,0.837774338,-0.030835123,0.580420289,0.579600645,,,10.28266314,,24.37401769,8612.199519
6.1,0.002319967,0.837765805,0.837762593,-0.030311163,0.580259209,0.579466981,,,10.28611198,,24.36650265,8634.469457
6.2,0.002236593,0.837779075,0.837776089,-0.029929891,0.579967018,0.57919422,,,10.29237387,,24.35286539,8610.495427
6.3,0.00287106,0.837810943,0.837806023,-0.030697995,0.579861968,0.579048819,,,10.29462705,,24.34796071,8553.458594
6.4,0.00328518,0.837755839,0.837749398,-0.031219638,0.579783911,0.578942759,,,10.2963019,,24.34431573,8652.562996
6.5,0.002936109,0.83775004,0.837744894,-0.030032737,0.57956177,0.578783103,,,10.30107132,,24.33393975,8663.12764
6.6,0.002849071,0.837750518,0.837745674,-0.030182374,0.579423093,0.578636454,,,10.30405099,,24.32746023,8662.254974
6.7,0.002829373,0.837868583,0.837863806,-0.030442732,0.579136383,0.578335707,,,10.31021683,,24.31405896,8452.19251
6.8,0.002991081,0.83782337,0.837818031,-0.029982704,0.578963943,0.578187068,,,10.31392878,,24.3059956,8531.421094
6.9,0.003094611,0.837746755,0.837741039,-0.030023935,0.578833079,0.578053888,,,10.31674755,,24.29987469,8669.122195
7,0.003195393,0.837752829,0.837746735,-0.030571058,0.578605065,0.577796877,,,10.32166261,,24.28920635,8658.043477
7.1,0.002787686,0.83775406,0.837749422,-0.029969732,0.578443571,0.577666668,,,10.32514658,,24.28164776,8655.800672
7.2,0.003325493,0.837790424,0.837783824,-0.029447626,0.578190932,0.577440552,,,10.33060158,,24.26981888,8590.094886
7.3,0.003267314,0.83774179,0.837735419,-0.029805271,0.578032129,0.577263188,,,10.33403343,,24.26238078,8678.199442
7.4,0.003540799,0.837839348,0.837831866,-0.029780254,0.57779189,0.57702392,,,10.33922949,,24.25112436,8503.253251
7.5,0.003276476,0.837783481,0.837777074,-0.030093889,0.577630455,0.576845994,,,10.34272406,,24.24355763,8602.564017
7.6,0.003272812,0.837737441,0.837731047,-0.029326712,0.577405313,0.576660072,,,10.34760165,,24.23300116,8686.167119
7.7,0.003349314,0.837754577,0.837747882,-0.029444383,0.577209962,0.57645847,,,10.35183755,,24.22383813,8654.859613
7.8,0.004099221,0.837682325,0.837672295,-0.0300105,0.577008131,0.576227172,,,10.35621759,,24.21436784,8788.412606
7.9,0.003624631,0.837744932,0.83773709,-0.029662584,0.576792449,0.576029218,,,10.36090234,,24.20424382,8672.45363
8,0.003606307,0.83773024,0.837722477,-0.029701035,0.576617644,0.575852199,,,10.36470232,,24.1960357,8699.389844
8.1,0.00377672,0.837659513,0.837650999,-0.029412417,0.576443307,0.575692449,,,10.36849491,,24.187847,8831.437642
8.2,0.004086394,0.837707823,0.837697856,-0.029406858,0.576181011,0.575430095,,,10.37420621,,24.17552207,8740.812517
8.3,0.003531637,0.837714478,0.837707033,-0.029726978,0.575958406,0.575190745,,,10.3790582,,24.16505764,8728.474959
8.4,0.003479872,0.837768337,0.83776111,-0.029644053,0.57576524,0.575001601,,,10.38327222,,24.1559737,8629.885392
8.5,0.003654407,0.83773311,0.837725139,-0.030016986,0.575537779,0.574754483,,,10.38823879,,24.14527298,8694.114053
8.6,0.003743278,0.837722152,0.837713788,-0.030294949,0.575366342,0.574568224,,,10.39198521,,24.13720502,8714.290062
8.7,0.003255404,0.837799218,0.837792893,-0.030354711,0.57507236,0.574270678,,,10.39841593,,24.12336421,8574.355036
8.8,0.003825278,0.837656699,0.837647965,-0.029919236,0.574893444,0.574114371,,,10.40233353,,24.11493718,8836.774623
8.9,0.003835356,0.837727143,0.837718363,-0.030566889,0.574644614,0.573831071,,,10.4077869,,24.10321271,8705.089
9,0.004008975,0.83770432,0.837694727,-0.030116126,0.574425766,0.573635755,,,10.41258792,,24.0928966,8747.321559
9.1,0.003612262,0.837756844,0.837749056,-0.029774232,0.57411084,0.573338253,,,10.41950443,,24.0780445,8650.735621
9.2,0.003534844,0.837759536,0.837752079,-0.029927575,0.573874453,0.57309356,,,10.42470208,,24.06689081,8645.842414
9.3,0.003234331,0.837840043,0.837833801,-0.029702425,0.573573019,0.572803434,,,10.43133752,,24.05266109,8502.031063
9.4,0.002951685,0.837781157,0.837775957,-0.02938879,0.573349866,0.572596165,,,10.43625519,,24.04212182,8606.744883
9.5,0.002969551,0.837779631,0.837774368,-0.0295148,0.573084208,0.572323673,,,10.44211562,,24.02956956,8609.492542
9.6,0.002571921,0.837784197,0.837780249,-0.030116589,0.57287878,0.572086608,,,10.44665189,,24.01985903,8601.276575
9.7,0.00244457,0.837770071,0.837766504,-0.030197662,0.572517747,0.571720799,,,10.45463378,,24.00278445,8626.748087
9.8,0.002628726,0.837781592,0.837777468,-0.030111957,0.572284084,0.571491332,,,10.45980622,,23.99172774,8605.962758
9.9,0.002527028,0.83778492,0.837781109,-0.029779328,0.57193444,0.571158643,,,10.46755562,,23.97517426,8599.976373
10,0.002530693,0.837735142,0.83773132,-0.029479128,0.571640076,0.57087946,,,10.47408871,,23.96122987,8690.383278
10.1,0.00284678,0.837736069,0.837731232,-0.029975292,0.571436554,0.570649821,,,10.47861044,,23.95158445,8688.682377
10.2,0.00243266,0.837753228,0.837749696,-0.030527974,0.57107977,0.570263226,,,10.48654668,,23.934667,8657.316918
10.3,0.002702937,0.837792083,0.837787723,-0.030660933,0.570706136,0.569881918,,,10.49487063,,23.91693889,8587.121599
10.4,0.002702937,0.837788453,0.837784093,-0.030090646,0.570353083,0.56955877,,,10.50274822,,23.90017635,8593.631165
10.5,0.002355699,0.837797147,0.837793835,-0.030294022,0.570029084,0.569223531,,,10.50998794,,23.88478384,8578.056884
10.6,0.002732714,0.83783358,0.837829123,-0.030697995,0.569616251,0.568788455,,,10.51922712,,23.86515795,8513.400555
10.7,0.003477582,0.837735351,0.837728133,-0.030989855,0.569211072,0.568366848,,,10.5283108,,23.84588171,8689.999077
10.8,0.003361225,0.837840528,0.837833785,-0.031173774,0.568764004,0.567909049,,,10.53835184,,23.82459612,8501.180828
10.9,0.00343223,0.837756868,0.837749838,-0.030915269,0.568219876,0.567378246,,,10.55059866,,23.79866616,8650.691111
11,0.004139075,0.83780118,0.837790956,-0.030840682,0.56763052,0.566792078,,,10.56389562,,23.77055191,8570.851455
11.1,0.003987445,0.837776782,0.837767293,-0.030654447,0.567038396,0.566209191,,,10.57728881,,23.74227535,8614.627597
11.2,0.003677312,0.837737998,0.837729927,-0.030022545,0.566297517,0.565501127,,,10.59409458,,23.70685211,8685.145256
11.3,0.003362141,0.837775566,0.837768819,-0.029917383,0.565564043,0.564772199,,,10.61078508,,23.67173576,8616.822205
11.4,0.003223795,0.837771977,0.837765774,-0.030270395,0.564905781,0.564094181,,,10.62580893,,23.64018031,8623.302172
11.5,0.003332364,0.837731522,0.837724894,-0.030457557,0.564257036,0.563434414,,,10.64065727,,23.60904386,8697.033259
11.6,0.003459258,0.837712504,0.837705362,-0.031323411,0.563623752,0.562752679,,,10.65519179,,23.57861384,8732.130223
11.7,0.003495905,0.837726337,0.837719043,-0.030530754,0.563040234,0.562211863,,,10.66861934,,23.55054382,8706.572648
11.8,0.003561414,0.837738997,0.837731427,-0.030792502,0.562497127,0.561653665,,,10.68114743,,23.52439074,8683.313933
11.9,0.003450096,0.838192172,0.838185071,-0.030873111,0.561943874,0.561095151,,,10.69393985,,23.49772223,7925.431364
12,0.00412579,0.838885386,0.83887524,-0.030970398,0.561118377,0.560263034,,,10.71308421,,23.45788021,6991.929003
12.1,0.004268259,0.83720935,0.837198469,-0.03115617,0.560519828,0.559653259,,,10.72700827,,23.42895375,9775.904579
12.2,0.003577447,0.837554229,0.837546589,-0.030686876,0.560373574,0.559532714,,,10.73041609,,23.42188078,9035.602179
12.3,0.00322746,0.837775099,0.837768882,-0.031136249,0.560056796,0.559190619,,,10.73780464,,23.4065546,8617.664722
12.4,0.004162438,0.838176507,0.838166172,-0.030821225,0.559336374,0.558486554,,,10.7546458,,23.37166605,7949.413867
12.5,0.004627866,0.83706591,0.837053117,-0.03056133,0.558748332,0.557911913,,,10.76843153,,23.34315392,10120.78536
12.6,0.004433632,0.837109407,0.837097666,-0.030273175,0.558305569,0.557484209,,,10.77883477,,23.32166538,10013.65971
